sch|tbl|col|type_name|max_length|precision|scale|is_nullable
---|---|---|---------|----------|---------|-----|-----------
dbo|T_Appros|SupplierId|int|4|10|0|1
dbo|T_Appros|LocalisationId|int|4|10|0|1
dbo|T_Appros|StatusId|int|4|10|0|1
dbo|T_Appros|Id_Cmd|int|4|10|0|1
dbo|T_Appros|Reference|varchar|50|0|0|1
dbo|T_Arts|isTransferable|bit|1|1|0|1
dbo|T_Cmds|SupplierId|int|4|10|0|1
dbo|T_Commande|Status|int|4|10|0|1
dbo|T_Customer|CustomerName|varchar|50|0|0|1
dbo|T_Customer|IsPermanent|bit|1|1|0|1
dbo|T_Customer|CustomerTypeId|int|4|10|0|1
dbo|T_Fact_Details|Localisationid|int|4|10|0|1
dbo|T_Facts|CustomerId|int|4|10|0|1
dbo|T_Facts|CommandeId|int|4|10|0|1
dbo|T_Facts|LivraisonId|int|4|10|0|1
dbo|T_Facts|MontantEnLettres|nvarchar|1000|0|0|1
dbo|T_Facts|MoneyId|int|4|10|0|1
dbo|T_Livraison|CommandeId|int|4|10|0|1
dbo|T_Livraison|Status|int|4|10|0|1
dbo|T_Livraison_Detail|Localisationid|int|4|10|0|1
dbo|T_Taux|RateLow|decimal|9|18|0|1
dbo|T_Taux|RateUp|decimal|9|18|0|1
dbo|T_Transformation|ToQte|decimal|9|18|2|1
dbo|T_Transformation|FromLocalisationId|int|4|10|0|1
dbo|T_Transformation|ToLocalisationId|int|4|10|0|1
dbo|T_Transformation|Status|int|4|10|0|1
dbo|T_User_Localisations|Id_User|varchar|50|0|0|1
dbo|T_User_Localisations|Id_Localisation|int|4|10|0|1
dbo|T_Users|Email|varchar|50|0|0|1
dbo|T_Users|Activated|bit|1|1|0|1
dbo|T_Users|RoleId|int|4|10|0|1

(31 lignes affectées)
