sch|tbl|fk_name|col|ref_sch|ref_tbl|ref_col
---|---|-------|---|-------|-------|-------
dbo|T_Activities|FK_T_Activities_Fonctions|NULL|dbo|T_Fonctions|NULL
dbo|T_Appro_Details|FK_ApproDetails_Appro|NULL|dbo|T_Appros|NULL
dbo|T_Appro_Details|FK_ApproDetails_Article|NULL|dbo|T_Arts|NULL
dbo|T_Appro_Details|FK_ApproDetails_Localisation|NULL|dbo|T_Localisations|NULL
dbo|T_Appro_Expense|FK_ApproExpense_Versement|NULL|dbo|T_Versements|NULL
dbo|T_Appros|FK_Appros_Cmd|NULL|dbo|T_Cmds|NULL
dbo|T_Cmd_Details|FK_T_Cmd_Details_T_Arts|NULL|dbo|T_Arts|NULL
dbo|T_Cmd_Details|FK_T_Cmd_Details_T_Cmds|NULL|dbo|T_Cmds|NULL
dbo|T_Cmds|FK_Cmds_Supplier|NULL|dbo|T_Supplier|NULL
dbo|T_Commande|FK_Commande_Customer|NULL|dbo|T_Customer|NULL
dbo|T_Commande_Details|FK_CommandeDetails_Article|NULL|dbo|T_Arts|NULL
dbo|T_Commande_Details|FK_CommandeDetails_Commande|NULL|dbo|T_Commande|NULL
dbo|T_Customer|FK_Customer_CustomerType|NULL|dbo|T_Customer_Type|NULL
dbo|T_Fact_Details|FK_FactDetails_Facts|NULL|dbo|T_Facts|NULL
dbo|T_Facts|FK_Facts_Commande|NULL|dbo|T_Commande|NULL
dbo|T_Facts|FK_Facts_Customer|NULL|dbo|T_Customer|NULL
dbo|T_Facts|FK_Facts_Livraison|NULL|dbo|T_Livraison|NULL
dbo|T_Facts|FK_Facts_Money|NULL|dbo|T_Moneys|NULL
dbo|T_Livraison|FK_Livraison_Commande|NULL|dbo|T_Commande|NULL
dbo|T_Livraison|FK_Livraison_Customer|NULL|dbo|T_Customer|NULL
dbo|T_Livraison_Detail|FK_LivraisonDetail_Article|NULL|dbo|T_Arts|NULL
dbo|T_Livraison_Detail|FK_LivraisonDetail_CommandeDetail|NULL|dbo|T_Commande_Details|NULL
dbo|T_Livraison_Detail|FK_T_Livraison_Detail_T_Livraison|NULL|dbo|T_Livraison|NULL
dbo|T_Mouvement_Stock|FK_Mouvement_Article|NULL|dbo|T_Arts|NULL
dbo|T_Mouvement_Stock|FK_Mouvement_Localisation|NULL|dbo|T_Localisations|NULL
dbo|T_Payments|FK_Payments_Facts|NULL|dbo|T_Facts|NULL
dbo|T_Permissions|FK_Permissions_Fonction|NULL|dbo|T_Fonctions|NULL
dbo|T_Permissions|FK_Permissions_Role|NULL|dbo|T_Roles|NULL
dbo|T_Profile|FK_T_Profile_T_AppSettings_AppNameSettingKey|NULL|dbo|T_AppSettings|NULL
dbo|T_Stock|FK_Stock_Article|NULL|dbo|T_Arts|NULL
dbo|T_Stock|FK_Stock_Localisation|NULL|dbo|T_Localisations|NULL
dbo|T_User_Activities|FK_T_User_Activities_Activities|NULL|dbo|T_Activities|NULL
dbo|T_User_Activities|FK_T_User_Activities_Users|NULL|dbo|T_Users|NULL
dbo|T_User_Fonctions|FK_T_User_Fonctions_T_Fonctions1|NULL|dbo|T_Fonctions|NULL
dbo|T_User_Fonctions|FK_T_User_Fonctions_T_Users|NULL|dbo|T_Users|NULL
dbo|T_User_Localisations|FK_T_User_Localisations_T_Users|NULL|dbo|T_Users|NULL
dbo|T_User_Localisations|FK_UserLocalisation_Localisation|NULL|dbo|T_Localisations|NULL
dbo|T_User_Localisations|FK_UserLocalisation_User|NULL|dbo|T_Users|NULL
dbo|T_Users|FK_Users_Roles|NULL|dbo|T_Roles|NULL
dbo|T_Users_Caisse|FK_T_Users_Caisse_T_Users|NULL|dbo|T_Users|NULL
dbo|T_Versements|FK_T_Versements_T_Localisations|NULL|dbo|T_Localisations|NULL

(41 lignes affectées)
