sch|tbl|row_count
---|---|---------
dbo|T_Fact_Details|134046
dbo|T_Facts|66076
dbo|T_Cmd_Details|7658
dbo|T_Importation2|5826
dbo|T_Appros|5204
dbo|T_Importations|2736
dbo|items_shop|1213
dbo|T_Arts|933
dbo|T_Art_Categorys|71
dbo|T_Art_Marques|53
dbo|T_User_Fonctions|53
dbo|T_User_Localisations|11
dbo|T_Fonctions|11
dbo|T_Cmd_Details_Externe|10
dbo|T_Reductions|10
dbo|T_Status|7
dbo|T_Mesures|6
dbo|T_Users|6
dbo|T_Transformation|6
dbo|T_Seuil|4
dbo|T_Localisations|3
dbo|T_Status_Cmds|3
dbo|T_Status_Fact_Details|3
dbo|T_Customer|2
dbo|T_Moneys|2
dbo|T_Periodes|2
dbo|T_Art_Types|2
dbo|MaTable|1
dbo|T_Cmds|1
dbo|T_Taux|1
dbo|T_Providers|0
dbo|T_Livraison|0
dbo|T_Livraison_Detail|0
dbo|T_Commande|0
dbo|T_Commande_Details|0
dbo|T_Audit|0
dbo|Articles_|0
dbo|customers|0

(38 lignes affectées)
