name|col|typ|max_length|precision|scale|is_nullable|is_identity|default_def
----|---|---|----------|---------|-----|-----------|-----------|-----------
T_Activities|ActivityId|int|4|10|0|0|1|NULL
T_Activities|FonctionId|int|4|10|0|0|0|NULL
T_Activities|Code|nvarchar|160|0|0|0|0|NULL
T_Activities|Description_Activity|nvarchar|300|0|0|0|0|NULL
T_Activities|IsActive|bit|1|1|0|0|0|((1))
T_Appro_Details|Id|int|4|10|0|0|1|NULL
T_Appro_Details|Id_Appro|int|4|10|0|0|0|NULL
T_Appro_Details|Id_Article|varchar|100|0|0|0|0|NULL
T_Appro_Details|Id_Localisation|int|4|10|0|0|0|NULL
T_Appro_Details|Qte|decimal|9|18|2|0|0|((0))
T_Appro_Details|PA|decimal|9|18|2|1|0|NULL
T_Appro_Details|PV|decimal|9|18|2|1|0|NULL
T_Appro_Details|Ben|decimal|9|18|2|1|0|NULL
T_Appro_Details|BenTotal|decimal|9|18|2|1|0|NULL
T_Appro_Details|Taux|decimal|9|18|2|1|0|NULL
T_Appro_Details|DateSys|datetime|8|23|3|1|0|(getdate())
T_Appro_Details|User|varchar|50|0|0|1|0|NULL
T_Appro_Details|Cumputer|varchar|50|0|0|1|0|NULL
T_Appro_Expense|Id|int|4|10|0|0|1|NULL
T_Appro_Expense|SourceId|int|4|10|0|0|0|NULL
T_Appro_Expense|CaisseId|int|4|10|0|1|0|NULL
T_Appro_Expense|CurrencyId|int|4|10|0|1|0|NULL
T_Appro_Expense|AmountUSD|decimal|9|18|2|1|0|NULL
T_Appro_Expense|AmountCDF|decimal|9|18|2|1|0|NULL
T_Appro_Expense|Depositeur|varchar|50|0|0|1|0|NULL
T_Appro_Expense|Description|varchar|50|0|0|1|0|NULL
T_Appro_Expense|Comment|varchar|50|0|0|1|0|NULL
T_Appro_Expense|UserLogin|varchar|50|0|0|1|0|NULL
T_Appro_Expense|CreationDate|datetime|8|23|3|1|0|NULL
T_Appro_Expense|VersementId|int|4|10|0|1|0|NULL
T_Appro_Expense|Statut|nvarchar|40|0|0|0|0|('En attente')
T_AppSettings|Key|varchar|100|0|0|0|0|NULL
T_AppSettings|Value|varchar|500|0|0|1|0|NULL
T_Caisse|CaisseId|int|4|10|0|0|1|NULL
T_Caisse|Description|varchar|50|0|0|0|0|NULL
T_Caisse|CurrencyId|int|4|10|0|0|0|NULL
T_Caisse|MinAmount|decimal|9|18|2|1|0|NULL
T_Caisse|MaxAmount|decimal|9|18|2|1|0|NULL
T_Caisse|DayLimit|decimal|9|18|2|1|0|NULL
T_Caisse|UserLogin|varchar|50|0|0|1|0|NULL
T_Caisse|CreationDate|datetime|8|23|3|1|0|NULL
T_Caisse|Solde|decimal|9|18|2|0|0|NULL
T_Caisse|TotalDueDay|decimal|9|18|2|1|0|NULL
T_Caisse|TotalRestDay|decimal|9|19|2|1|0|NULL
T_Customer_Type|CustomerTypeId|int|4|10|0|0|1|NULL
T_Customer_Type|Description|varchar|50|0|0|1|0|NULL
T_Expense_Source|Id|int|4|10|0|0|1|NULL
T_Expense_Source|Sources|varchar|50|0|0|1|0|NULL
T_ModuleLicenses|Id|int|4|10|0|0|1|NULL
T_ModuleLicenses|ModuleCode|varchar|50|0|0|0|0|NULL
T_ModuleLicenses|ModuleName|nvarchar|200|0|0|0|0|NULL
T_ModuleLicenses|Description|nvarchar|1000|0|0|1|0|NULL
T_ModuleLicenses|Icon|varchar|50|0|0|1|0|NULL
T_ModuleLicenses|IsActive|bit|1|1|0|0|0|((1))
T_ModuleLicenses|IsCore|bit|1|1|0|0|0|((0))
T_ModuleLicenses|Price|decimal|9|18|2|1|0|NULL
T_ModuleLicenses|ActivatedAt|datetime|8|23|3|1|0|NULL
T_ModuleLicenses|ExpiresAt|datetime|8|23|3|1|0|NULL
T_ModuleLicenses|LicenseNotes|nvarchar|1000|0|0|1|0|NULL
T_ModuleLicenses|CreatedAt|datetime|8|23|3|0|0|(getdate())
T_ModuleLicenses|UpdatedAt|datetime|8|23|3|0|0|(getdate())
T_Mouvement_Stock|Id|int|4|10|0|0|1|NULL
T_Mouvement_Stock|Id_Article|varchar|100|0|0|0|0|NULL
T_Mouvement_Stock|Id_Localisation|int|4|10|0|0|0|NULL
T_Mouvement_Stock|Type_Mouvement|varchar|20|0|0|0|0|NULL
T_Mouvement_Stock|Quantite|decimal|9|18|2|0|0|NULL
T_Mouvement_Stock|Qte_Avant|decimal|9|18|2|1|0|NULL
T_Mouvement_Stock|Qte_Apres|decimal|9|18|2|1|0|NULL
T_Mouvement_Stock|Date_Mouvement|datetime|8|23|3|1|0|(getdate())
T_Mouvement_Stock|Type_Document|varchar|50|0|0|0|0|NULL
T_Mouvement_Stock|Id_Document|int|4|10|0|1|0|NULL
T_Mouvement_Stock|Id_Document_Detail|int|4|10|0|1|0|NULL
T_Mouvement_Stock|Reference|varchar|100|0|0|1|0|NULL
T_Mouvement_Stock|Id_Localisation_Source|int|4|10|0|1|0|NULL
T_Mouvement_Stock|Id_Localisation_Dest|int|4|10|0|1|0|NULL
T_Mouvement_Stock|Prix_Unitaire|decimal|9|18|2|1|0|NULL
T_Mouvement_Stock|Valeur_Totale|decimal|17|37|4|1|0|NULL
T_Mouvement_Stock|Observation|varchar|255|0|0|1|0|NULL
T_Mouvement_Stock|Cree_Par|varchar|50|0|0|0|0|NULL
T_Mouvement_Stock|Date_Creation|datetime|8|23|3|1|0|(getdate())
T_Mouvement_Stock|Valide_Par|varchar|50|0|0|1|0|NULL
T_Mouvement_Stock|Date_Validation|datetime|8|23|3|1|0|NULL
T_Mouvement_Stock|Annule|bit|1|1|0|1|0|((0))
T_Payments|Id|int|4|10|0|0|1|NULL
T_Payments|Id_Fact|int|4|10|0|0|0|NULL
T_Payments|Date|date|3|10|0|0|0|NULL
T_Payments|Amount|decimal|9|18|2|0|0|NULL
T_Payments|Note|nvarchar|400|0|0|1|0|NULL
T_Payments|DateSys|datetime|8|23|3|0|0|(getdate())
T_Payments|User|nvarchar|100|0|0|1|0|NULL
T_Permissions|PermissionId|int|4|10|0|0|1|NULL
T_Permissions|RoleId|int|4|10|0|0|0|NULL
T_Permissions|FonctionId|int|4|10|0|0|0|NULL
T_Permissions|CanRead|bit|1|1|0|0|0|((1))
T_Permissions|CanWrite|bit|1|1|0|0|0|((0))
T_Permissions|CanDelete|bit|1|1|0|0|0|((0))
T_Profile|Id|int|4|10|0|0|1|NULL
T_Profile|AppNameSettingKey|varchar|100|0|0|0|0|('AppName')
T_Profile|PhotoShop|nvarchar|-1|0|0|1|0|NULL
T_Profile|Adresse1|varchar|250|0|0|1|0|NULL
T_Profile|Adresse2|varchar|250|0|0|1|0|NULL
T_Roles|RoleId|int|4|10|0|0|1|NULL
T_Roles|Description_Role|nvarchar|200|0|0|0|0|NULL
T_Roles|IsActive|bit|1|1|0|0|0|((1))
T_Stock|Id|int|4|10|0|0|1|NULL
T_Stock|Id_Article|varchar|100|0|0|0|0|NULL
T_Stock|Id_Localisation|int|4|10|0|0|0|NULL
