TABLE_NAME|COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|IS_NULLABLE
----------|-----------|---------|------------------------|-----------
T_Appros|Id|int|NULL|NO
T_Appros|Id_Article|varchar|100|NO
T_Appros|Id_Cmd_Detail|int|NULL|NO
T_Appros|Qte|decimal|NULL|NO
T_Appros|PA|decimal|NULL|YES
T_Appros|PV|decimal|NULL|YES
T_Appros|Ben|decimal|NULL|YES
T_Appros|BenTotal|decimal|NULL|YES
T_Appros|Taux|decimal|NULL|YES
T_Appros|Date|date|NULL|NO
T_Appros|DateSys|datetime|NULL|NO
T_Appros|User|varchar|50|NO
T_Appros|Cumputer|varchar|50|NO
T_Appros|Commentaire|varchar|50|NO
T_Customer|CustomerId|int|NULL|NO
T_Customer|CustomerDescription|varchar|50|YES
T_Customer|Contact|varchar|50|YES
T_Customer|Email|varchar|50|YES
T_Customer|Adress|varchar|50|YES
T_Customer|UserLogin|varchar|50|YES
T_Customer|CreationDate|date|NULL|YES
T_Facts|Id|int|NULL|NO
T_Facts|Description_Name|varchar|50|NO
T_Facts|Description_Article|varchar|-1|YES
T_Facts|Adresse|varchar|50|YES
T_Facts|email|varchar|50|YES
T_Facts|Telephone|varchar|13|YES
T_Facts|Type|int|NULL|YES
T_Facts|Date|date|NULL|NO
T_Facts|Reduction|decimal|NULL|YES
T_Facts|Total_Apres_Reduction|decimal|NULL|YES
T_Facts|Total|decimal|NULL|YES
T_Facts|Total_Reduit|decimal|NULL|YES
T_Facts|Taux|decimal|NULL|NO
T_Facts|Status|int|NULL|NO
T_Facts|DateSys|datetime|NULL|NO
T_Facts|User|varchar|50|NO
T_Facts|Cumputer|varchar|50|NO
T_Livraison|LivraisonId|int|NULL|NO
T_Livraison|Porteur|varchar|50|YES
T_Livraison|ClientId|varchar|50|YES
T_Livraison|Date|datetime|NULL|YES
T_Livraison|DateSys|datetime|NULL|YES
T_Livraison|UserLogin|varchar|50|YES
T_User_Localisations|Id|int|NULL|NO
T_User_Localisations|User|varchar|50|YES
T_User_Localisations|Localisation|int|NULL|YES
T_User_Localisations|Begin_Date|date|NULL|YES
T_User_Localisations|End_Date|date|NULL|YES
T_User_Localisations|Activate|bit|NULL|YES
T_Users|Id|int|NULL|NO
T_Users|login|varchar|50|NO
T_Users|Password|varchar|50|YES
T_Users|Name|varchar|50|YES

(54 lignes affectées)
