name|parent_table|parent_col|ref_table|ref_col
----|------------|----------|---------|-------
FK_T_Activities_Fonctions|T_Activities|FonctionId|T_Fonctions|Id_Fonction
FK_ApproDetails_Appro|T_Appro_Details|Id_Appro|T_Appros|Id
FK_ApproDetails_Article|T_Appro_Details|Id_Article|T_Arts|Id_Article
FK_ApproDetails_Localisation|T_Appro_Details|Id_Localisation|T_Localisations|Id_Localisation
FK_ApproExpense_Versement|T_Appro_Expense|VersementId|T_Versements|Id
FK_Appros_Cmd|T_Appros|Id_Cmd|T_Cmds|Id
FK_Cmds_Supplier|T_Cmds|SupplierId|T_Supplier|SupplierId
FK_Commande_Customer|T_Commande|CustomerId|T_Customer|CustomerId
FK_Customer_CustomerType|T_Customer|CustomerTypeId|T_Customer_Type|CustomerTypeId
FK_FactDetails_Facts|T_Fact_Details|Id_Fact|T_Facts|Id
FK_Facts_Commande|T_Facts|CommandeId|T_Commande|CommandeId
FK_Facts_Customer|T_Facts|CustomerId|T_Customer|CustomerId
FK_Facts_Livraison|T_Facts|LivraisonId|T_Livraison|LivraisonId
FK_Facts_Money|T_Facts|MoneyId|T_Moneys|Id_Monais
FK_Livraison_Commande|T_Livraison|CommandeId|T_Commande|CommandeId
FK_Livraison_Customer|T_Livraison|ClientId|T_Customer|CustomerId
FK_Mouvement_Article|T_Mouvement_Stock|Id_Article|T_Arts|Id_Article
FK_Mouvement_Localisation|T_Mouvement_Stock|Id_Localisation|T_Localisations|Id_Localisation
FK_Payments_Facts|T_Payments|Id_Fact|T_Facts|Id
FK_Permissions_Fonction|T_Permissions|FonctionId|T_Fonctions|Id_Fonction
FK_Permissions_Role|T_Permissions|RoleId|T_Roles|RoleId
FK_T_Profile_T_AppSettings_AppNameSettingKey|T_Profile|AppNameSettingKey|T_AppSettings|Key
FK_Stock_Article|T_Stock|Id_Article|T_Arts|Id_Article
FK_Stock_Localisation|T_Stock|Id_Localisation|T_Localisations|Id_Localisation
FK_T_User_Activities_Activities|T_User_Activities|ActivityId|T_Activities|ActivityId
FK_T_User_Activities_Users|T_User_Activities|UserLogin|T_Users|login
FK_T_User_Localisations_T_Users|T_User_Localisations|Id_User|T_Users|login
FK_UserLocalisation_Localisation|T_User_Localisations|Id_Localisation|T_Localisations|Id_Localisation
FK_UserLocalisation_User|T_User_Localisations|Id_User|T_Users|login
FK_Users_Roles|T_Users|RoleId|T_Roles|RoleId
FK_T_Users_Caisse_T_Users|T_Users_Caisse|User|T_Users|login
FK_T_Versements_T_Localisations|T_Versements|LocalisationId|T_Localisations|Id_Localisation

(32 lignes affectées)
